35,Happiness Is Not A Place,The Wind and The Wave,http://www.spotontrack.com/track/happiness-is-not-a-place/2093245,https://open.spotify.com/track/1QCuVVP4KWHCjRGWTVT9mz,1QCuVVP4KWHCjRGWTVT9mz,,BPM:  113.97800000,Danceability:  69%, A#, Minor,Energy:  87%,Valence:  96%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  7%
36,Meg White,Ray LaMontagne,http://www.spotontrack.com/track/meg-white/593729,https://open.spotify.com/track/6YQwL0C5Jt3aKM3vs2qTpp,6YQwL0C5Jt3aKM3vs2qTpp,https://p.scdn.co/mp3-preview/5c701eec69467c5ae6a61e7f9afbc3e5f95d1117?cid=null,BPM:  124.62400000,Danceability:  50%, G, Major,Energy:  39%,Valence:  25%,Acousticness:  72%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  14%
37,We're Going To Be Friends,Jack White,http://www.spotontrack.com/track/we-re-going-to-be-friends/2106289,https://open.spotify.com/track/0PEhW18xo3U8hHWgH4Fc17,0PEhW18xo3U8hHWgH4Fc17,https://p.scdn.co/mp3-preview/446f9f5d0c17ec37e41a69ff2cc82c0476766e6f?cid=null,BPM:  97.17500000,Danceability:  52%, G, Major,Energy:  17%,Valence:  39%,Acousticness:  81%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  9%
38,Home,Edward Sharpe & The Magnetic Zeros,http://www.spotontrack.com/track/home/458577,https://open.spotify.com/track/6ZapsNk1ZpaebNXAIohP9R,6ZapsNk1ZpaebNXAIohP9R,,BPM:  111.66500000,Danceability:  54%, D, Major,Energy:  59%,Valence:  14%,Acousticness:  29%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  18%
39,Smells Like Teen Spirit,Freedom Fry,http://www.spotontrack.com/track/smells-like-teen-spirit/279810,https://open.spotify.com/track/5IqCc31SeFJd5C7v2JGq0I,5IqCc31SeFJd5C7v2JGq0I,https://p.scdn.co/mp3-preview/ec29585b9c5bdf2def5286bc89bc4cfd3bac2185?cid=null,BPM:  95.98700000,Danceability:  72%, A, Major,Energy:  81%,Valence:  75%,Acousticness:  33%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  7%
40,Whoa,Matt Pond PA,http://www.spotontrack.com/track/whoa/4327888,https://open.spotify.com/track/3qEzgPFbtr5PZQPZ3HfZ3v,3qEzgPFbtr5PZQPZ3HfZ3v,https://p.scdn.co/mp3-preview/9fb6589e5a9c851fdf4117e75b9b35dea1697dff?cid=null,BPM:  91.02600000,Danceability:  56%, B, Major,Energy:  76%,Valence:  68%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  8%
41,Our Bodies,Emil Landman,http://www.spotontrack.com/track/our-bodies/666707,https://open.spotify.com/track/08XjENEbgIDSYVNFikaqYH,08XjENEbgIDSYVNFikaqYH,,BPM:  81.97500000,Danceability:  76%, E, Major,Energy:  54%,Valence:  86%,Acousticness:  56%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  26%
42,I Don't Know My Name,Grace VanderWaal,http://www.spotontrack.com/track/i-don-t-know-my-name/5604348,https://open.spotify.com/track/4G9addS7Yq5ihZBQLXG2Mj,4G9addS7Yq5ihZBQLXG2Mj,https://p.scdn.co/mp3-preview/35239eb21f16ea985c0be67abb3152deaa7fc55a?cid=null,BPM:  140.64900000,Danceability:  55%, C, Major,Energy:  22%,Valence:  44%,Acousticness:  78%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  11%
43,Free (feat. Jewel & Tristan Prettyman),Anya Marina,http://www.spotontrack.com/track/free-feat-jewel-tristan-prettyman/6900460,https://open.spotify.com/track/1dswO40Cmst61OzVxodUI4,1dswO40Cmst61OzVxodUI4,https://p.scdn.co/mp3-preview/d9b50db0a41873b11e18e3392c9bdf29c80ef274?cid=null,BPM:  127.01200000,Danceability:  80%, C, Major,Energy:  57%,Valence:  73%,Acousticness:  21%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  6%
44,Alive,Graeme James,http://www.spotontrack.com/track/alive/2096533,https://open.spotify.com/track/0P3IyyiJecMoAX9Q4cbwHX,0P3IyyiJecMoAX9Q4cbwHX,https://p.scdn.co/mp3-preview/19010f7193b6a6b352cc0720e6975744d85c51fe?cid=null,BPM:  117.02100000,Danceability:  72%, F, Major,Energy:  89%,Valence:  78%,Acousticness:  15%,Instrumentalness:  33%,Speechiness:  3%,Liveness:  11%
45,Fool You’ve Landed,Mumford & Sons,http://www.spotontrack.com/track/fool-you-ve-landed/567236,https://open.spotify.com/track/4CFM8Aq8ZaTTQ2nUHNDVJ2,4CFM8Aq8ZaTTQ2nUHNDVJ2,,BPM:  153.04400000,Danceability:  59%, D, Major,Energy:  85%,Valence:  94%,Acousticness:  4%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  22%
46,When We Were Young,Falls,http://www.spotontrack.com/track/when-we-were-young/504860,https://open.spotify.com/track/1Bj7N8qzv0KWCxvq4gfOTL,1Bj7N8qzv0KWCxvq4gfOTL,,BPM:  104.99500000,Danceability:  56%, F, Major,Energy:  75%,Valence:  60%,Acousticness:  7%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  13%
47,Upbeat Feelgood,Foy Vance,http://www.spotontrack.com/track/upbeat-feelgood/678373,https://open.spotify.com/track/0oJ9eFIxJUveexkRbWjqvg,0oJ9eFIxJUveexkRbWjqvg,https://p.scdn.co/mp3-preview/c33c3761a956ce11dbf3a9b22a95bcb074e7ba76?cid=null,BPM:  83.77200000,Danceability:  55%, C, Major,Energy:  61%,Valence:  46%,Acousticness:  12%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  14%
48,American Dream,Cereus Bright,http://www.spotontrack.com/track/american-dream/1119437,https://open.spotify.com/track/0FkJp8j6TOpRWPCln1t9WB,0FkJp8j6TOpRWPCln1t9WB,https://p.scdn.co/mp3-preview/f4479d804cac6b11b49074bcad432918fbb0e771?cid=null,BPM:  133.07700000,Danceability:  71%, A#, Major,Energy:  50%,Valence:  19%,Acousticness:  18%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  13%
49,Put It Together,Langhorne Slim,http://www.spotontrack.com/track/put-it-together/595635,https://open.spotify.com/track/0qau061S9oIy7S5xHruwHA,0qau061S9oIy7S5xHruwHA,https://p.scdn.co/mp3-preview/9803d32bd36300cdfb1e577ff5a761cdb6d870b6?cid=null,BPM:  125.63000000,Danceability:  48%, A, Major,Energy:  87%,Valence:  77%,Acousticness:  33%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  11%
50,O' Be Joyful,Shovels & Rope,http://www.spotontrack.com/track/o-be-joyful/504391,https://open.spotify.com/track/7dIfF8s2ZbMMfGl9waxmGP,7dIfF8s2ZbMMfGl9waxmGP,,BPM:  67.54000000,Danceability:  63%, B, Minor,Energy:  80%,Valence:  52%,Acousticness:  26%,Instrumentalness:  0%,Speechiness:  17%,Liveness:  28%
51,Aerosol Ball,The Felice Brothers,http://www.spotontrack.com/track/aerosol-ball/678388,https://open.spotify.com/track/07RULM1xjoEaal27GAsioi,07RULM1xjoEaal27GAsioi,https://p.scdn.co/mp3-preview/c544dc0252f1d699c2de43bbda1e39e45091c8f6?cid=null,BPM:  95.49600000,Danceability:  60%, G, Major,Energy:  68%,Valence:  93%,Acousticness:  22%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  12%
52,Destroyer,Dead Man Winter,http://www.spotontrack.com/track/destroyer/6498942,https://open.spotify.com/track/1R4hG0ZP1PBrP14eeOhdB5,1R4hG0ZP1PBrP14eeOhdB5,https://p.scdn.co/mp3-preview/a355d3b404530b178c95c5e8facab9dfedc4ff02?cid=null,BPM:  121.80100000,Danceability:  51%, C, Major,Energy:  81%,Valence:  83%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  10%
53,Rusty,Hein Cooper,http://www.spotontrack.com/track/rusty/678390,https://open.spotify.com/track/2rwPOgMZHP8mFAYneg8bvh,2rwPOgMZHP8mFAYneg8bvh,https://p.scdn.co/mp3-preview/faf7809c5a94e0acc6c9af8c688c240ecfb03f90?cid=null,BPM:  119.98000000,Danceability:  87%, F#, Major,Energy:  57%,Valence:  84%,Acousticness:  16%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  10%
54,Long Monday,Twin Bandit,http://www.spotontrack.com/track/long-monday/678399,https://open.spotify.com/track/6z5BpehKllyzghelsaZZJw,6z5BpehKllyzghelsaZZJw,,BPM:  164.03500000,Danceability:  59%, G, Major,Energy:  63%,Valence:  55%,Acousticness:  3%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  35%
55,Candid,MICKY,http://www.spotontrack.com/track/candid/7338993,https://open.spotify.com/track/6cB1RVjwsO9v5quck4NZR3,6cB1RVjwsO9v5quck4NZR3,https://p.scdn.co/mp3-preview/879b3e19f208d63fa9ae177945b022400b367d2b?cid=null,BPM:  149.00400000,Danceability:  69%, B, Minor,Energy:  82%,Valence:  95%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  18%
56,Swept Away,The Avett Brothers,http://www.spotontrack.com/track/swept-away/667977,https://open.spotify.com/track/5fzyyA9W1inYLNfu37Qdz5,5fzyyA9W1inYLNfu37Qdz5,,BPM:  160.28300000,Danceability:  36%, G, Major,Energy:  51%,Valence:  56%,Acousticness:  12%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  13%
57,I Will Wait,Mumford & Sons,http://www.spotontrack.com/track/i-will-wait/545217,https://open.spotify.com/track/3kyxRga5wDGbKdmxXssbps,3kyxRga5wDGbKdmxXssbps,,BPM:  131.23400000,Danceability:  49%, C#, Major,Energy:  74%,Valence:  44%,Acousticness:  1%,Instrumentalness:  1%,Speechiness:  3%,Liveness:  21%
58,Two of Us on the Run,Lucius,http://www.spotontrack.com/track/two-of-us-on-the-run/218220,https://open.spotify.com/track/7eI7Y41wcPfqzAxqv1jogS,7eI7Y41wcPfqzAxqv1jogS,,BPM:  79.66400000,Danceability:  44%, D, Major,Energy:  28%,Valence:  24%,Acousticness:  77%,Instrumentalness:  3%,Speechiness:  3%,Liveness:  8%
59,I Will Remain,Matthew And The Atlas,http://www.spotontrack.com/track/i-will-remain/678400,https://open.spotify.com/track/1pRb7DlOyLPGcBJUJoAKOo,1pRb7DlOyLPGcBJUJoAKOo,https://p.scdn.co/mp3-preview/a1b606bd108ecdebf7bc8e79824e83fa192cc4d9?cid=null,BPM:  123.93300000,Danceability:  74%, G#, Major,Energy:  43%,Valence:  69%,Acousticness:  79%,Instrumentalness:  1%,Speechiness:  4%,Liveness:  11%
60,This Sweet Love,James Yuill,http://www.spotontrack.com/track/this-sweet-love/668816,https://open.spotify.com/track/2EWRUGLGX59cwdpIZjmkQO,2EWRUGLGX59cwdpIZjmkQO,https://p.scdn.co/mp3-preview/74a90e32f97645b615bcf58676103550cf6a6261?cid=null,BPM:  115.01000000,Danceability:  64%, C, Minor,Energy:  62%,Valence:  57%,Acousticness:  12%,Instrumentalness:  38%,Speechiness:  3%,Liveness:  6%
61,Sparrow and the Wolf,James Vincent McMorrow,http://www.spotontrack.com/track/sparrow-and-the-wolf/301331,https://open.spotify.com/track/3SB5JGFnQxB4P8Gh46wMzy,3SB5JGFnQxB4P8Gh46wMzy,https://p.scdn.co/mp3-preview/02b1846d86044afd9753d8e501fca179c8d7bf54?cid=null,BPM:  127.01500000,Danceability:  53%, G, Major,Energy:  60%,Valence:  42%,Acousticness:  25%,Instrumentalness:  1%,Speechiness:  4%,Liveness:  10%
62,Coney Island,Good Old War,http://www.spotontrack.com/track/coney-island/678404,https://open.spotify.com/track/5jnekVPgf12EsKtBX3JPTW,5jnekVPgf12EsKtBX3JPTW,https://p.scdn.co/mp3-preview/4df67a5b740322723e82f6231d3d98efdbb8a19f?cid=null,BPM:  99.47500000,Danceability:  62%, F, Major,Energy:  74%,Valence:  91%,Acousticness:  39%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  8%
63,The Way We Move,Langhorne Slim,http://www.spotontrack.com/track/the-way-we-move/252464,https://open.spotify.com/track/40rjypnguxfhPy4Bbv5SWc,40rjypnguxfhPy4Bbv5SWc,https://p.scdn.co/mp3-preview/c0138fee0bf52ad832136318d8b6722291eef092?cid=null,BPM:  135.59600000,Danceability:  54%, B, Major,Energy:  84%,Valence:  77%,Acousticness:  22%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  30%
64,Water Fountain,tUnE-yArDs,http://www.spotontrack.com/track/water-fountain/120318,https://open.spotify.com/track/7JeYK1pt9Kds0E62S7uiIU,7JeYK1pt9Kds0E62S7uiIU,https://p.scdn.co/mp3-preview/fe616e0e6e2851ce794c8d89ce5bfe04cb2fdf40?cid=null,BPM:  110.48800000,Danceability:  83%, C#, Major,Energy:  69%,Valence:  58%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  37%
