37,Ms. Jackson,OutKast,http://www.spotontrack.com/track/ms-jackson/19783,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV,0I3q5fE6wg7LIfHGngUTnV,https://p.scdn.co/mp3-preview/36ade9974fa85079e996dd9aca93af62c4e88711?cid=null,BPM:  94.94600000,Danceability:  84%, E, Minor,Energy:  81%,Valence:  62%,Acousticness:  14%,Instrumentalness:  0%,Speechiness:  27%,Liveness:  8%
38,O.P.P.,Naughty By Nature,http://www.spotontrack.com/track/o-p-p/426754,https://open.spotify.com/track/4piae89WoVnwucdJzWrB7M,4piae89WoVnwucdJzWrB7M,https://p.scdn.co/mp3-preview/d8c8340cd0c1850428711c5d4dffe0ead349b0b7?cid=null,BPM:  97.76500000,Danceability:  78%, E, Minor,Energy:  97%,Valence:  66%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  9%,Liveness:  20%
39,Sex And Candy,Marcy Playground,http://www.spotontrack.com/track/sex-and-candy/126486,https://open.spotify.com/track/5mkGfmJGFZpwK9nA5amOhv,5mkGfmJGFZpwK9nA5amOhv,,BPM:  80.51100000,Danceability:  67%, D, Major,Energy:  56%,Valence:  62%,Acousticness:  24%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  11%
40,Lightning Crashes,Live,http://www.spotontrack.com/track/lightning-crashes/1015867,https://open.spotify.com/track/48iWbsOaBUAGzMdoSmqyg1,48iWbsOaBUAGzMdoSmqyg1,,BPM:  93.70500000,Danceability:  40%, B, Major,Energy:  43%,Valence:  44%,Acousticness:  28%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  16%
41,Since U Been Gone,Kelly Clarkson,http://www.spotontrack.com/track/since-u-been-gone/52712,https://open.spotify.com/track/3xrn9i8zhNZsTtcoWgQEAd,3xrn9i8zhNZsTtcoWgQEAd,https://p.scdn.co/mp3-preview/6e39adc77aba227544f11251414bd89824e0eb96?cid=null,BPM:  131.00000000,Danceability:  66%, C, Major,Energy:  74%,Valence:  41%,Acousticness:  0%,Instrumentalness:  3%,Speechiness:  3%,Liveness:  11%
42,Who Will Save Your Soul,Jewel,http://www.spotontrack.com/track/who-will-save-your-soul/55499,https://open.spotify.com/track/1SYXw0U7vE9BpUw5bEFvKw,1SYXw0U7vE9BpUw5bEFvKw,https://p.scdn.co/mp3-preview/626dd2cf1578bab5f2b7e922af754048387c507f?cid=null,BPM:  126.17900000,Danceability:  69%, G, Major,Energy:  47%,Valence:  76%,Acousticness:  70%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  13%
43,The Way I Am,Ingrid Michaelson,http://www.spotontrack.com/track/the-way-i-am/1514518,https://open.spotify.com/track/43ddJFnP8m3PzNJXiHuiyJ,43ddJFnP8m3PzNJXiHuiyJ,https://p.scdn.co/mp3-preview/ca0ca8933016eb4c904e6cbc0df0fcc01fd6ebbb?cid=null,BPM:  119.98900000,Danceability:  88%, F, Major,Energy:  26%,Valence:  29%,Acousticness:  77%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  11%
44,Come Clean,Hilary Duff,http://www.spotontrack.com/track/come-clean/2290672,https://open.spotify.com/track/2TZ1apxMDlubCGMsOxcTbT,2TZ1apxMDlubCGMsOxcTbT,,BPM:  118.09700000,Danceability:  58%, G#, Minor,Energy:  91%,Valence:  50%,Acousticness:  2%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  27%
45,When I Come Around,Green Day,http://www.spotontrack.com/track/when-i-come-around/14764,https://open.spotify.com/track/1Dr1fXbc2IxaK1Mu8P8Khz,1Dr1fXbc2IxaK1Mu8P8Khz,https://p.scdn.co/mp3-preview/d31a72f5f5a6fee7c92a32bed95ee4e13ce16dde?cid=null,BPM:  97.54600000,Danceability:  53%, B, Major,Energy:  91%,Valence:  81%,Acousticness:  2%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  23%
46,Criminal,Fiona Apple,http://www.spotontrack.com/track/criminal/1018373,https://open.spotify.com/track/4MHB6aVYOgd3j4qtRPTbsh,4MHB6aVYOgd3j4qtRPTbsh,https://p.scdn.co/mp3-preview/47e937dc1a457572353d56378167fda8e7256825?cid=null,BPM:  89.84600000,Danceability:  60%, G, Minor,Energy:  80%,Valence:  59%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  30%
47,I'll Be,Edwin McCain,http://www.spotontrack.com/track/i-ll-be/1662811,https://open.spotify.com/track/6M2iMy11vTbsb1t4EcaXeJ,6M2iMy11vTbsb1t4EcaXeJ,https://p.scdn.co/mp3-preview/3bf5963076f900a99a498a09d205643824c70c58?cid=null,BPM:  136.52600000,Danceability:  37%, B, Major,Energy:  61%,Valence:  43%,Acousticness:  39%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  10%
48,Barely Breathing (45 Version),Duncan Sheik,http://www.spotontrack.com/track/barely-breathing-45-version/528971,https://open.spotify.com/track/7eBky33UQEUKp0sNhcU6rW,7eBky33UQEUKp0sNhcU6rW,https://p.scdn.co/mp3-preview/fce7c04a2abd147e1bb33c17e0529d526d4bfc75?cid=null,BPM:  188.01200000,Danceability:  48%, C, Major,Energy:  79%,Valence:  51%,Acousticness:  3%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  27%
49,A Long December,Counting Crows,http://www.spotontrack.com/track/a-long-december/793741,https://open.spotify.com/track/6fabKldyJ76EacX0ggii7B,6fabKldyJ76EacX0ggii7B,,BPM:  70.66200000,Danceability:  39%, F, Major,Energy:  58%,Valence:  38%,Acousticness:  47%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  22%
50,Loser,Beck,http://www.spotontrack.com/track/loser/318167,https://open.spotify.com/track/5PntSbMHC1ud6Vvl8x56qd,5PntSbMHC1ud6Vvl8x56qd,,BPM:  85.44000000,Danceability:  66%, F#, Minor,Energy:  63%,Valence:  79%,Acousticness:  3%,Instrumentalness:  0%,Speechiness:  12%,Liveness:  39%
51,You Oughta Know,Alanis Morissette,http://www.spotontrack.com/track/you-oughta-know/161592,https://open.spotify.com/track/17ZAZ24Eyh5fKqQ06u4R3d,17ZAZ24Eyh5fKqQ06u4R3d,https://p.scdn.co/mp3-preview/d81696e37c3470da07a0f8c358ea3eca65c5b6a3?cid=null,BPM:  105.31600000,Danceability:  64%, E, Major,Energy:  86%,Valence:  47%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  87%
