37,Relent,Ailbhe Reddy,http://www.spotontrack.com/track/relent/7212237,https://open.spotify.com/track/3act2ZRFpLMpXK8lGMpJAp,3act2ZRFpLMpXK8lGMpJAp,https://p.scdn.co/mp3-preview/31adb5802f15f04226bb6ff31dd4a36f3be561a1?cid=null,BPM:  92.03800000,Danceability:  27%, E, Minor,Energy:  54%,Valence:  21%,Acousticness:  20%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  14%
38,Drive,Oh Wonder,http://www.spotontrack.com/track/drive/6862,https://open.spotify.com/track/2kJqNHHGOzLNahukdvlDWN,2kJqNHHGOzLNahukdvlDWN,,BPM:  141.74200000,Danceability:  66%, A, Major,Energy:  45%,Valence:  40%,Acousticness:  76%,Instrumentalness:  0%,Speechiness:  10%,Liveness:  8%
39,Pulse,IDER,http://www.spotontrack.com/track/pulse/290949,https://open.spotify.com/track/1sb9Ez8XeECe3tqwLpcxjJ,1sb9Ez8XeECe3tqwLpcxjJ,https://p.scdn.co/mp3-preview/dfb469881af32e5ae6022a18f76ef3e5734a9733?cid=null,BPM:  131.14300000,Danceability:  51%, F#, Major,Energy:  21%,Valence:  6%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  9%
40,All My Love,Imaginary Future,http://www.spotontrack.com/track/all-my-love/6993262,https://open.spotify.com/track/2Yf7GDUIRd7YpA5LgqCeb5,2Yf7GDUIRd7YpA5LgqCeb5,https://p.scdn.co/mp3-preview/4e79e969c965e6b1ffc23d328b0000f2604b3de7?cid=null,BPM:  131.99700000,Danceability:  49%, G, Major,Energy:  39%,Valence:  12%,Acousticness:  83%,Instrumentalness:  3%,Speechiness:  4%,Liveness:  9%
41,Seven Hours,Little May,http://www.spotontrack.com/track/seven-hours/510464,https://open.spotify.com/track/6mmrnnwdZNLcl1k3er9mik,6mmrnnwdZNLcl1k3er9mik,,BPM:  119.53300000,Danceability:  32%, D#, Major,Energy:  64%,Valence:  33%,Acousticness:  36%,Instrumentalness:  8%,Speechiness:  3%,Liveness:  7%
42,The Author,Wildwood Kin,http://www.spotontrack.com/track/the-author/6787909,https://open.spotify.com/track/4sLcQNXZ8ay3mU3D8PTSw4,4sLcQNXZ8ay3mU3D8PTSw4,https://p.scdn.co/mp3-preview/8a86830e6a65895cb752aa363918e935fe5cb1fb?cid=null,BPM:  117.04000000,Danceability:  58%, B, Minor,Energy:  51%,Valence:  15%,Acousticness:  50%,Instrumentalness:  4%,Speechiness:  4%,Liveness:  7%
43,Holes,The Paper Kites,http://www.spotontrack.com/track/holes/7073465,https://open.spotify.com/track/4fpAxDV1fhSHMotzyKkFhz,4fpAxDV1fhSHMotzyKkFhz,https://p.scdn.co/mp3-preview/955c46df9f06b3a2593160982e832b029203f8f6?cid=null,BPM:  79.98100000,Danceability:  53%, C#, Major,Energy:  32%,Valence:  16%,Acousticness:  88%,Instrumentalness:  35%,Speechiness:  3%,Liveness:  10%
44,Twins,Gem Club,http://www.spotontrack.com/track/twins/119321,https://open.spotify.com/track/0HkeFfUXYEW21pTlqeADdV,0HkeFfUXYEW21pTlqeADdV,https://p.scdn.co/mp3-preview/ff79bb27644f81be5fdb860555906c663341979c?cid=null,BPM:  122.95900000,Danceability:  26%, A, Minor,Energy:  7%,Valence:  5%,Acousticness:  97%,Instrumentalness:  7%,Speechiness:  4%,Liveness:  12%
45,Hold,Vera Blue,http://www.spotontrack.com/track/hold/701513,https://open.spotify.com/track/6vITFXjXN3i1VwWI1iv3fc,6vITFXjXN3i1VwWI1iv3fc,,BPM:  118.76800000,Danceability:  36%, F#, Minor,Energy:  51%,Valence:  25%,Acousticness:  12%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  14%
46,Shortline,RY X,http://www.spotontrack.com/track/shortline/264821,https://open.spotify.com/track/4ROdI7pMLhREchUg6xb4ix,4ROdI7pMLhREchUg6xb4ix,,BPM:  119.95100000,Danceability:  36%, D#, Major,Energy:  14%,Valence:  4%,Acousticness:  81%,Instrumentalness:  76%,Speechiness:  4%,Liveness:  9%
47,Natural Blue,Julie Byrne,http://www.spotontrack.com/track/natural-blue/6247007,https://open.spotify.com/track/6AX0iXa7ZrvLZBsvmES6h8,6AX0iXa7ZrvLZBsvmES6h8,https://p.scdn.co/mp3-preview/85b63796e85bd8ada89619067b9585c69d33d4c4?cid=null,BPM:  141.44100000,Danceability:  28%, A, Major,Energy:  14%,Valence:  33%,Acousticness:  94%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  9%
48,Caves,Haux,http://www.spotontrack.com/track/caves/177584,https://open.spotify.com/track/0mRYWIfmx1NMmFdyuWbXI0,0mRYWIfmx1NMmFdyuWbXI0,,BPM:  130.15300000,Danceability:  54%, D#, Minor,Energy:  24%,Valence:  6%,Acousticness:  53%,Instrumentalness:  5%,Speechiness:  4%,Liveness:  13%
49,Howling,Cathedrals,http://www.spotontrack.com/track/howling/43476,https://open.spotify.com/track/1FcZz1kyVomWBEiT93xcJZ,1FcZz1kyVomWBEiT93xcJZ,https://p.scdn.co/mp3-preview/6e8c989e0dd8917a0ea6e2b101b2b64464fd4256?cid=null,BPM:  125.07900000,Danceability:  64%, G#, Major,Energy:  47%,Valence:  12%,Acousticness:  32%,Instrumentalness:  6%,Speechiness:  4%,Liveness:  54%
50,Sorry,Aquilo,http://www.spotontrack.com/track/sorry/5113845,https://open.spotify.com/track/3UNuVVGosJLfLCsWHEhr5U,3UNuVVGosJLfLCsWHEhr5U,,BPM:  177.40000000,Danceability:  32%, D, Major,Energy:  30%,Valence:  18%,Acousticness:  69%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  13%
51,Going Home,Ásgeir,http://www.spotontrack.com/track/going-home/566958,https://open.spotify.com/track/1vlt1z8Ez6SueIfCE2pm9A,1vlt1z8Ez6SueIfCE2pm9A,https://p.scdn.co/mp3-preview/0b3145e7be228cea394e0e1746b4201082f0e207?cid=null,BPM:  180.07400000,Danceability:  42%, G#, Minor,Energy:  28%,Valence:  28%,Acousticness:  71%,Instrumentalness:  60%,Speechiness:  4%,Liveness:  11%
52,I'm Not Alright,John Joseph Brill,http://www.spotontrack.com/track/i-m-not-alright/10027558,https://open.spotify.com/track/4y9zPQF2PHpVFPVR20nbcY,4y9zPQF2PHpVFPVR20nbcY,https://p.scdn.co/mp3-preview/50df4c56c4f50f1de9e5ae64456673c2d2c9de7c?cid=null,BPM:  100.00000000,Danceability:  59%, F#, Major,Energy:  53%,Valence:  29%,Acousticness:  14%,Instrumentalness:  88%,Speechiness:  2%,Liveness:  9%
53,Hold Tight,The Sweeplings,http://www.spotontrack.com/track/hold-tight/3939834,https://open.spotify.com/track/2NW20khfVFioDGYdrzJUzd,2NW20khfVFioDGYdrzJUzd,https://p.scdn.co/mp3-preview/e9eacbd00076626e1ddd32a6eead84a8b3266fce?cid=null,BPM:  164.15500000,Danceability:  52%, E, Minor,Energy:  27%,Valence:  13%,Acousticness:  51%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  9%
54,For You,Rae Morris,http://www.spotontrack.com/track/for-you/595417,https://open.spotify.com/track/6wUPboIgs7h3J1CE2Qq0d6,6wUPboIgs7h3J1CE2Qq0d6,https://p.scdn.co/mp3-preview/04b1140a1c730b82c8cf8e5606bf8202b6cc3888?cid=null,BPM:  124.00100000,Danceability:  35%, C, Major,Energy:  41%,Valence:  22%,Acousticness:  80%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  9%
55,Get Low,James Vincent McMorrow,http://www.spotontrack.com/track/get-low/1833616,https://open.spotify.com/track/6DwshFWH1WmFtY1Aitsl0f,6DwshFWH1WmFtY1Aitsl0f,,BPM:  100.01600000,Danceability:  52%, A, Minor,Energy:  21%,Valence:  14%,Acousticness:  34%,Instrumentalness:  0%,Speechiness:  13%,Liveness:  12%
56,Beautiful Hell,Adna,http://www.spotontrack.com/track/beautiful-hell/667252,https://open.spotify.com/track/47GLaeWUMchz06mAU56uKt,47GLaeWUMchz06mAU56uKt,https://p.scdn.co/mp3-preview/a934623efe58d9d26e4e1e4ac2fdd0f569b500dc?cid=null,BPM:  120.09800000,Danceability:  53%, B, Minor,Energy:  19%,Valence:  13%,Acousticness:  93%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  9%
57,Heal Me,Arctic Lake,http://www.spotontrack.com/track/heal-me/890590,https://open.spotify.com/track/56vlzMRLMYKL1f8HHXTRCn,56vlzMRLMYKL1f8HHXTRCn,https://p.scdn.co/mp3-preview/777a8972b8a7763f47b03bb8d9289b00e815d5bc?cid=null,BPM:  139.73400000,Danceability:  41%, A, Minor,Energy:  35%,Valence:  13%,Acousticness:  71%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  11%
58,Fools and Their Gold - Radio Edit,PLGRMS,http://www.spotontrack.com/track/fools-and-their-gold-radio-edit/676111,https://open.spotify.com/track/5ZrVZbwwxczBujEY2AWvlq,5ZrVZbwwxczBujEY2AWvlq,https://p.scdn.co/mp3-preview/4d0903e0a6b77a08970f9f9c3ef0d6243b99c6fc?cid=null,BPM:  154.16400000,Danceability:  53%, C, Minor,Energy:  64%,Valence:  35%,Acousticness:  41%,Instrumentalness:  3%,Speechiness:  3%,Liveness:  15%
59,Fly Down,Stephen,http://www.spotontrack.com/track/fly-down/275865,https://open.spotify.com/track/7aBWUHQtmHKQJU7CM0HFW1,7aBWUHQtmHKQJU7CM0HFW1,https://p.scdn.co/mp3-preview/a79424cac57a100cbe7585ab3aaff732aeb7753a?cid=null,BPM:  87.02500000,Danceability:  69%, C, Minor,Energy:  41%,Valence:  7%,Acousticness:  76%,Instrumentalness:  0%,Speechiness:  38%,Liveness:  12%
60,Bridge,High Highs,http://www.spotontrack.com/track/bridge/429661,https://open.spotify.com/track/2HLd7alxKkXHU2KmbGUUVm,2HLd7alxKkXHU2KmbGUUVm,https://p.scdn.co/mp3-preview/cc31299d02f63b07f93cab1300e26e800beab473?cid=null,BPM:  90.45800000,Danceability:  60%, F#, Major,Energy:  36%,Valence:  44%,Acousticness:  90%,Instrumentalness:  3%,Speechiness:  2%,Liveness:  9%
61,Little Whip,Daggy Man,http://www.spotontrack.com/track/little-whip/151723,https://open.spotify.com/track/6n9NIxMa67H5WCAWwLcV1J,6n9NIxMa67H5WCAWwLcV1J,https://p.scdn.co/mp3-preview/18130a06bd8130a9a2b1783859a3d3c0321d21e1?cid=null,BPM:  152.15800000,Danceability:  55%, F#, Major,Energy:  27%,Valence:  35%,Acousticness:  80%,Instrumentalness:  1%,Speechiness:  5%,Liveness:  9%
62,All Exterior Dark,Wovoka Gentle,http://www.spotontrack.com/track/all-exterior-dark/7460750,https://open.spotify.com/track/3T3j23eEkLi6palzuu8uHV,3T3j23eEkLi6palzuu8uHV,https://p.scdn.co/mp3-preview/e5af3cca809b739f7340ff8fa0b342e24cf16c1c?cid=null,BPM:  119.87700000,Danceability:  37%, B, Minor,Energy:  24%,Valence:  4%,Acousticness:  69%,Instrumentalness:  94%,Speechiness:  3%,Liveness:  10%
63,Need You,Ember Island,http://www.spotontrack.com/track/need-you/69076,https://open.spotify.com/track/2NC58VL9ADAL1LSYki5XEL,2NC58VL9ADAL1LSYki5XEL,https://p.scdn.co/mp3-preview/e5af646511d6ed62012d0cca7d0fef72ea586dbb?cid=null,BPM:  142.88100000,Danceability:  24%, G#, Minor,Energy:  58%,Valence:  14%,Acousticness:  31%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  7%
64,Aeroplane,Holly Throsby,http://www.spotontrack.com/track/aeroplane/8599501,https://open.spotify.com/track/4Opwligc8799m8u2zm89Uo,4Opwligc8799m8u2zm89Uo,,BPM:  96.07800000,Danceability:  41%, D, Major,Energy:  27%,Valence:  31%,Acousticness:  79%,Instrumentalness:  44%,Speechiness:  3%,Liveness:  11%
65,Electricity,Sam Pinkerton,http://www.spotontrack.com/track/electricity/6676701,https://open.spotify.com/track/3VoZIN3MSxpLKP0LdsTHqj,3VoZIN3MSxpLKP0LdsTHqj,https://p.scdn.co/mp3-preview/d004904bd2750594aa98a371ffafbe5b29d163e2?cid=null,BPM:  126.95500000,Danceability:  42%, B, Minor,Energy:  58%,Valence:  9%,Acousticness:  3%,Instrumentalness:  8%,Speechiness:  3%,Liveness:  26%
