1,Sunshine - The Knocks Remix,POWERS,http://www.spotontrack.com/track/sunshine-the-knocks-remix/2078913,https://open.spotify.com/track/24OV6VOjeJgjP0vmlbHika,24OV6VOjeJgjP0vmlbHika,,BPM:  120.00100000,Danceability:  67%, F, Minor,Energy:  95%,Valence:  28%,Acousticness:  2%,Instrumentalness:  18%,Speechiness:  13%,Liveness:  9%
64,Human Touch,Betty Who,http://www.spotontrack.com/track/human-touch/5074817,https://open.spotify.com/track/073wmqmf5KfrQiNukyuqrq,073wmqmf5KfrQiNukyuqrq,https://p.scdn.co/mp3-preview/eb8d446290968031b589b7ab6a875180689e62e1?cid=null,BPM:  102.89800000,Danceability:  66%, B, Minor,Energy:  73%,Valence:  57%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  10%
65,Hung Up,Tritonal,http://www.spotontrack.com/track/hung-up/6476514,https://open.spotify.com/track/2ULg8Cw0Ckn5JDGUkCNXko,2ULg8Cw0Ckn5JDGUkCNXko,https://p.scdn.co/mp3-preview/b0b498715df97ffc4650ff46136e2f5a02f8c446?cid=null,BPM:  119.82400000,Danceability:  44%, G, Major,Energy:  73%,Valence:  36%,Acousticness:  42%,Instrumentalness:  0%,Speechiness:  17%,Liveness:  37%
66,Hope,Tim Legend,http://www.spotontrack.com/track/hope/6069936,https://open.spotify.com/track/2v7EYRJaqHg29z1jnx59yI,2v7EYRJaqHg29z1jnx59yI,https://p.scdn.co/mp3-preview/2968c3441fcfb50d0771b56e668275692fc1f7c8?cid=null,None,None,None,None,None,None,None,None,None,None
67,Childhood Dreams,ARY,http://www.spotontrack.com/track/childhood-dreams/9139276,https://open.spotify.com/track/4y6sUWPw0XzCb8RodaNSPY,4y6sUWPw0XzCb8RodaNSPY,https://p.scdn.co/mp3-preview/58d34bcb7a922e1557944b5820bd477017326a12?cid=null,BPM:  119.90600000,Danceability:  81%, F#, Major,Energy:  41%,Valence:  62%,Acousticness:  17%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  26%
68,Verona,Lostboycrow,http://www.spotontrack.com/track/verona/8642582,https://open.spotify.com/track/2DRfWdOZhBi00BcCwv9ljR,2DRfWdOZhBi00BcCwv9ljR,https://p.scdn.co/mp3-preview/069556f3c424a15152273f663107976593fc9067?cid=null,BPM:  105.04400000,Danceability:  70%, F, Minor,Energy:  73%,Valence:  69%,Acousticness:  20%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  10%
69,Wild Horses - Sam Feldt Remix,Birdy,http://www.spotontrack.com/track/wild-horses-sam-feldt-remix/285249,https://open.spotify.com/track/4tVybkClyH0hjL8jzMq3sH,4tVybkClyH0hjL8jzMq3sH,https://p.scdn.co/mp3-preview/c493a65581bb1035a50724f7984416c5d79237c7?cid=null,BPM:  109.71000000,Danceability:  50%, G#, Major,Energy:  73%,Valence:  55%,Acousticness:  8%,Instrumentalness:  0%,Speechiness:  10%,Liveness:  9%
70,Empty Streets,Kota Banks,http://www.spotontrack.com/track/empty-streets/3049627,https://open.spotify.com/track/21xFsQzlsh6cr5XIDqKc7S,21xFsQzlsh6cr5XIDqKc7S,,BPM:  140.02400000,Danceability:  66%, G, Major,Energy:  63%,Valence:  30%,Acousticness:  2%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  13%
71,That´s Me,HEDEGAARD,http://www.spotontrack.com/track/that-s-me/10899590,https://open.spotify.com/track/1UiEaMpzSMICYs0FWQga7S,1UiEaMpzSMICYs0FWQga7S,,BPM:  104.98200000,Danceability:  67%, C, Minor,Energy:  76%,Valence:  52%,Acousticness:  11%,Instrumentalness:  0%,Speechiness:  15%,Liveness:  15%
72,Sunset Lover,Petit Biscuit,http://www.spotontrack.com/track/sunset-lover/23116,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,0hNduWmlWmEmuwEFcYvRu1,https://p.scdn.co/mp3-preview/548545f6df276b92cafd8a29996021ae40e73d1d?cid=null,BPM:  90.83800000,Danceability:  78%, F#, Major,Energy:  47%,Valence:  24%,Acousticness:  73%,Instrumentalness:  81%,Speechiness:  5%,Liveness:  11%
73,The Shine,ayokay,http://www.spotontrack.com/track/the-shine/14938593,https://open.spotify.com/track/5p6eKTYwFYitUS617IMtyd,5p6eKTYwFYitUS617IMtyd,https://p.scdn.co/mp3-preview/a11a3662018be947f034df748eb5ff0b6ecad575?cid=null,BPM:  99.98300000,Danceability:  68%, G#, Major,Energy:  55%,Valence:  58%,Acousticness:  27%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  8%
74,The Things You Do,Griffin Stoller,http://www.spotontrack.com/track/the-things-you-do/7372430,https://open.spotify.com/track/0owbFAS9rCBSqJYly3fMbE,0owbFAS9rCBSqJYly3fMbE,https://p.scdn.co/mp3-preview/0220fac07f28d6699d556721621e79d3b8f98c32?cid=null,BPM:  91.95800000,Danceability:  68%, C, Minor,Energy:  63%,Valence:  55%,Acousticness:  31%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  10%
75,First Time,Kygo,http://www.spotontrack.com/track/first-time/20523138,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr,2Gl0FzuLxflY6nPifJp5Dr,https://p.scdn.co/mp3-preview/f5e35495b56260a06a92b308d616ab71e079e903?cid=null,BPM:  90.06600000,Danceability:  63%, C, Minor,Energy:  59%,Valence:  64%,Acousticness:  20%,Instrumentalness:  0%,Speechiness:  11%,Liveness:  10%
